> Task :compileJava
> Task :processResources UP-TO-DATE
> Task :classes
> Task :configJavafxRun

> Task :run
ID : 1070936919 | X:-75.39698811316708 | Y:158.59207389756187 | Vx:300.0 | Vy:-108.73455048839388
ID : 1070936919 | X:-62.611527813167086 | Y:154.1396340748505 | Vx:300.0 | Vy:-104.47273038839388
ID : 1070936919 | X:-57.438693213167085 | Y:152.3679649129286 | Vx:300.0 | Vy:-102.74845218839388
ID : 1070936919 | X:-52.02225561316708 | Y:150.54546053176153 | Vx:300.0 | Vy:-100.94297298839389
ID : 1070936919 | X:-44.71402131316708 | Y:148.14575563839534 | Vx:300.0 | Vy:-98.50689488839389
ID : 1070936919 | X:-40.61276121316708 | Y:146.8177702402463 | Vx:300.0 | Vy:-97.13980818839389
ID : 1070936919 | X:-38.10971991316708 | Y:146.01424841851366 | Vx:300.0 | Vy:-96.30546108839388
ID : 1070936919 | X:-34.84021971316708 | Y:144.97655670594588 | Vx:300.0 | Vy:-95.21562768839388
ID : 1070936919 | X:-32.50186761316708 | Y:144.24047326335662 | Vx:300.0 | Vy:-94.43617698839388
ID : 1070936919 | X:-29.21642961316708 | Y:143.21825269612847 | Vx:300.0 | Vy:-93.34103098839388
ID : 1070936919 | X:-26.81366451316708 | Y:142.477078879634 | Vx:300.0 | Vy:-92.54010928839388
ID : 1070936919 | X:-23.02313331316708 | Y:141.32378955991285 | Vx:300.0 | Vy:-91.27659888839388
ID : 1070936919 | X:-20.53849191316708 | Y:140.57468355273363 | Vx:300.0 | Vy:-90.44838508839388
ID : 1070936919 | X:-16.985588613167078 | Y:139.51752802415416 | Vx:300.0 | Vy:-89.26408398839388
ID : 1070936919 | X:-11.125108413167077 | Y:137.81192139950886 | Vx:300.0 | Vy:-87.31059058839388
ID : 1070936919 | X:-8.168211513167076 | Y:136.96107472765692 | Vx:300.0 | Vy:-86.32495828839387
ID : 1070936919 | X:-5.940560913167076 | Y:136.32558238523174 | Vx:300.0 | Vy:-85.58240808839388
ID : 1070936919 | X:-2.3583194131670755 | Y:135.3179178212226 | Vx:300.0 | Vy:-84.38832758839388
ID : 1070936919 | X:0.29268608683292463 | Y:134.58001345282608 | Vx:300.0 | Vy:-83.50465908839388
ID : 1070936919 | X:3.986541386832925 | Y:133.5669936576397 | Vx:300.0 | Vy:-82.27337398839389
ID : 1070936919 | X:7.100889686832925 | Y:132.72367736662378 | Vx:300.0 | Vy:-81.23525788839389
ID : 1070936919 | X:11.563228886832924 | Y:131.53747141556087 | Vx:300.0 | Vy:-79.74781148839389
ID : 1070936919 | X:14.289247886832925 | Y:130.82108145068423 | Vx:300.0 | Vy:-78.8391384883939
ID : 1070936919 | X:18.305081486832925 | Y:129.78365071234273 | Vx:300.0 | Vy:-77.5005272883939
ID : 1070936919 | X:21.083901086832924 | Y:129.07436391862203 | Vx:300.0 | Vy:-76.5742540883939
ID : 1070936919 | X:26.035245986832926 | Y:127.83778523969218 | Vx:300.0 | Vy:-74.9238057883939
ID : 1070936919 | X:29.263720586832925 | Y:127.04306772466258 | Vx:300.0 | Vy:-73.84764758839391
ID : 1070936919 | X:31.878075986832926 | Y:126.4071153528931 | Vx:300.0 | Vy:-72.97619578839391
ID : 1070936919 | X:35.186238986832926 | Y:125.61455145297178 | Vx:300.0 | Vy:-71.8734747883939
ID : 1070936919 | X:37.68885548683293 | Y:125.02193796140818 | Vx:300.0 | Vy:-71.03926928839391
ID : 1070936919 | X:40.955318186832926 | Y:124.26030285971164 | Vx:300.0 | Vy:-69.95044838839391
ID : 1070936919 | X:43.389408986832926 | Y:123.69933349236548 | Vx:300.0 | Vy:-69.1390847883939
ID : 1070936919 | X:46.99682558683293 | Y:122.88241461236835 | Vx:300.0 | Vy:-67.9366125883939
ID : 1070936919 | X:49.592392886832926 | Y:122.30211996713193 | Vx:300.0 | Vy:-67.0714234883939
ID : 1070936919 | X:53.07888338683293 | Y:121.5361466044267 | Vx:300.0 | Vy:-65.9092599883939
ID : 1070936919 | X:55.56359948683293 | Y:120.99712039976099 | Vx:300.0 | Vy:-65.0810212883939
ID : 1070936919 | X:59.462144486832926 | Y:120.16827015831737 | Vx:300.0 | Vy:-63.7815062883939
ID : 1070936919 | X:64.27711268683292 | Y:119.17034365296944 | Vx:300.0 | Vy:-62.1765168883939
ID : 1070936919 | X:67.57633808683292 | Y:118.49865682723038 | Vx:300.0 | Vy:-61.0767750883939
ID : 1070936919 | X:69.97500338683292 | Y:118.01670724067496 | Vx:300.0 | Vy:-60.2772199883939
ID : 1070936919 | X:73.41303068683293 | Y:117.33905818295378 | Vx:300.0 | Vy:-59.1312108883939
ID : 1070936919 | X:75.92860958683292 | Y:116.85025869170404 | Vx:300.0 | Vy:-58.292684588393904
ID : 1070936919 | X:79.25833568683292 | Y:116.21558208721726 | Vx:300.0 | Vy:-57.182775888393905
ID : 1070936919 | X:81.91411628683292 | Y:115.71720258723914 | Vx:300.0 | Vy:-56.29751568839391
ID : 1070936919 | X:85.52598308683292 | Y:115.05390058531556 | Vx:300.0 | Vy:-55.09356008839391
ID : 1070936919 | X:88.37919098683292 | Y:114.53896797717182 | Vx:300.0 | Vy:-54.14249078839391
ID : 1070936919 | X:92.31759908683293 | Y:113.84541840554581 | Vx:300.0 | Vy:-52.82968808839391
ID : 1070936919 | X:95.07213068683293 | Y:113.36877874839307 | Vx:300.0 | Vy:-51.911510888393906
ID : 1070936919 | X:100.07335088683294 | Y:112.53116709604443 | Vx:300.0 | Vy:-50.244437488393906
ID : 1070936919 | X:103.83783188683294 | Y:111.91643223644122 | Vx:300.0 | Vy:-48.98961048839391
ID : 1070936919 | X:106.52457548683294 | Y:111.48571115181187 | Vx:300.0 | Vy:-48.094029288393905
ID : 1070936919 | X:110.11319198683294 | Y:110.9247168042748 | Vx:300.0 | Vy:-46.89782378839391
ID : 1070936919 | X:112.82357318683295 | Y:110.50917594482856 | Vx:300.0 | Vy:-45.99436338839391
ID : 1070936919 | X:116.42521478683294 | Y:109.97140503880564 | Vx:300.0 | Vy:-44.793816188393905
ID : 1070936919 | X:119.60448908683294 | Y:109.50792981575518 | Vx:300.0 | Vy:-43.7340580883939
ID : 1070936919 | X:123.22770608683294 | Y:108.9943228748602 | Vx:300.0 | Vy:-42.526319088393905
ID : 1070936919 | X:125.53550768683294 | Y:108.6730995709958 | Vx:300.0 | Vy:-41.7570518883939
ID : 1070936919 | X:129.12412418683294 | Y:108.18790849565129 | Vx:300.0 | Vy:-40.560846388393905
ID : 1070936919 | X:131.83704278683294 | Y:107.82929194402215 | Vx:300.0 | Vy:-39.656540188393905
ID : 1070936919 | X:136.69311158683294 | Y:107.21357721248427 | Vx:300.0 | Vy:-38.0378505883939
ID : 1070936919 | X:139.48986878683294 | Y:106.86765938283861 | Vx:300.0 | Vy:-37.1055981883939
ID : 1070936919 | X:142.02159788683295 | Y:106.56164347630127 | Vx:300.0 | Vy:-36.2616884883939
ID : 1070936919 | X:145.46762528683294 | Y:106.15830879689877 | Vx:300.0 | Vy:-35.1130126883939
ID : 1070936919 | X:147.59359988683295 | Y:105.91449951765969 | Vx:300.0 | Vy:-34.4043544883939
ID : 1070936919 | X:150.62797238683294 | Y:105.5767445566033 | Vx:300.0 | Vy:-33.3928969883939
ID : 1070936919 | X:152.70387128683294 | Y:105.35046513645325 | Vx:300.0 | Vy:-32.7009306883939
ID : 1070936919 | X:155.69306828683293 | Y:105.03456149975541 | Vx:300.0 | Vy:-31.704531688393903
ID : 1070936919 | X:157.79985518683293 | Y:104.81684424969629 | Vx:300.0 | Vy:-31.002269388393902
ID : 1070936919 | X:160.72633898683293 | Y:104.52393468308135 | Vx:300.0 | Vy:-30.0267747883939
ID : 1070936919 | X:162.73772468683293 | Y:104.32711178991988 | Vx:300.0 | Vy:-29.3563128883939
ID : 1070936919 | X:167.85472148683294 | Y:103.85548421094441 | Vx:300.0 | Vy:-27.650647288393902
ID : 1070936919 | X:170.55215258683293 | Y:103.61494975177409 | Vx:300.0 | Vy:-26.751503588393902
ID : 1070936919 | X:172.98343058683292 | Y:103.40471651431757 | Vx:300.0 | Vy:-25.941077588393902
ID : 1070936919 | X:175.90123928683292 | Y:103.16187240541248 | Vx:300.0 | Vy:-24.968474688393904
ID : 1070936919 | X:177.8621118868329 | Y:103.00294465842651 | Vx:300.0 | Vy:-24.314850488393905
ID : 1070936919 | X:180.6381564868329 | Y:102.7865103200119 | Vx:300.0 | Vy:-23.389502288393906
ID : 1070936919 | X:182.72709308683292 | Y:102.62849486885722 | Vx:300.0 | Vy:-22.693190088393905
ID : 1070936919 | X:185.68345238683293 | Y:102.41457530176524 | Vx:300.0 | Vy:-21.707736988393904
ID : 1070936919 | X:187.76192618683294 | Y:102.26897881907 | Vx:300.0 | Vy:-21.014912388393903
ID : 1070936919 | X:190.62014678683295 | Y:102.07783843963796 | Vx:300.0 | Vy:-20.0621721883939
ID : 1070936919 | X:192.66190778683296 | Y:101.94592989045182 | Vx:300.0 | Vy:-19.381585188393903
ID : 1070936919 | X:195.62379218683296 | Y:101.76432401795032 | Vx:300.0 | Vy:-18.3942903883939
ID : 1070936919 | X:199.69627658683297 | Y:101.53305040375123 | Vx:300.0 | Vy:-17.0367955883939
ID : 1070936919 | X:202.49162138683297 | Y:101.38298684672995 | Vx:300.0 | Vy:-16.1050139883939
ID : 1070936919 | X:205.35314198683298 | Y:101.23846886036438 | Vx:300.0 | Vy:-15.1511737883939
ID : 1070936919 | X:208.213887386833 | Y:101.1030832071248 | Vx:300.0 | Vy:-14.1975919883939
ID : 1070936919 | X:210.316899386833 | Y:101.00847158546263 | Vx:300.0 | Vy:-13.4965879883939
ID : 1070936919 | X:213.255270686833 | Y:100.88587165825996 | Vx:300.0 | Vy:-12.5171308883939
ID : 1070936919 | X:215.368907486833 | Y:100.80264660836433 | Vx:300.0 | Vy:-11.812585288393901
ID : 1070936919 | X:218.251465886833 | Y:100.69837743290108 | Vx:300.0 | Vy:-10.851732488393901
ID : 1070936919 | X:220.530192386833 | Y:100.6217198809957 | Vx:300.0 | Vy:-10.092156988393901
ID : 1070936919 | X:223.767504686833 | Y:100.52445965774187 | Vx:300.0 | Vy:-9.0130528883939
ID : 1070936919 | X:225.885316586833 | Y:100.46581663024928 | Vx:300.0 | Vy:-8.3071155883939
ID : 1070936919 | X:230.776497986833 | Y:100.35695977216805 | Vx:300.0 | Vy:-6.6767217883939
